ball_prob,non_ball_prob,file
0.0,1.0,c-1358.jpg
0.0,1.0,c-1359.jpg
0.0,1.0,c-136.jpg
0.0,1.0,c-1360.jpg
1.9064128e-08,1.0,c-1361.jpg
0.0,1.0,c-1362.jpg
8.315792e-30,1.0,c-1363.jpg
1.0,5.4926706e-23,c-1364.jpg
1.0,5.4926706e-23,c-1365.jpg
0.0,1.0,c-1366.jpg
0.0,1.0,c-137.jpg
0.0,1.0,c-1372.jpg
1.2071285e-14,1.0,c-1373.jpg
1.6384297e-26,1.0,c-1374.jpg
0.0,1.0,c-1375.jpg
0.0,1.0,c-1379.jpg
0.0,1.0,c-138.jpg
0.0,1.0,c-1380.jpg
0.0,1.0,c-1381.jpg
0.0,1.0,c-1382.jpg
0.0,1.0,c-1383.jpg
0.0,1.0,c-1384.jpg
0.0,1.0,c-1385.jpg
0.0,1.0,c-139.jpg
0.0,1.0,c-1390.jpg
0.0,1.0,c-140.jpg
9.336539e-07,0.99999905,c-1402.jpg
1.0,1.6714683e-15,c-1403.jpg
0.0,1.0,c-1404.jpg
0.0,1.0,c-1405.jpg
0.0,1.0,c-1406.jpg
0.0,1.0,c-1407.jpg
0.0,1.0,c-1408.jpg
0.0,1.0,c-141.jpg
0.0,1.0,c-1414.jpg
0.0,1.0,c-1415.jpg
0.0,1.0,c-1416.jpg
0.0,1.0,c-1417.jpg
0.0,1.0,c-1418.jpg
0.0,1.0,c-1419.jpg
0.0,1.0,c-142.jpg
0.0,1.0,c-1420.jpg
0.0,1.0,c-1421.jpg
0.0,1.0,c-1422.jpg
0.0,1.0,c-1423.jpg
0.0,1.0,c-1424.jpg
0.0,1.0,c-1425.jpg
0.0,1.0,c-1426.jpg
0.0,1.0,c-1427.jpg
5.751378e-22,1.0,c-1428.jpg
0.0,1.0,c-1429.jpg
0.0,1.0,c-143.jpg
0.0,1.0,c-1430.jpg
0.0,1.0,c-1431.jpg
0.0,1.0,c-1432.jpg
0.0,1.0,c-1433.jpg
0.0,1.0,c-1434.jpg
0.0,1.0,c-1435.jpg
0.0,1.0,c-1436.jpg
0.0,1.0,c-1437.jpg
0.0,1.0,c-1438.jpg
0.0,1.0,c-144.jpg
1.0,0.0,c-1441.jpg
0.0,1.0,c-145.jpg
0.0,1.0,c-146.jpg
1.0,4.921277e-09,c-1468.jpg
0.0,1.0,c-147.jpg
1.0,0.0,c-1471.jpg
0.0,1.0,c-148.jpg
0.0,1.0,c-1488.jpg
0.0,1.0,c-1489.jpg
0.0,1.0,c-149.jpg
0.0,1.0,c-1490.jpg
0.0,1.0,c-1491.jpg
0.0,1.0,c-1492.jpg
0.0,1.0,c-1493.jpg
0.0,1.0,c-1494.jpg
0.0,1.0,c-1495.jpg
0.0,1.0,c-1496.jpg
0.0,1.0,c-1497.jpg
1.8922774e-19,1.0,c-1498.jpg
2.8295737e-09,1.0,c-1499.jpg
