ball_prob,non_ball_prob,file
1.0,0.0,b-283-08.jpg
1.0,0.0,b-283.jpg
1.0,0.0,b-284-07.jpg
1.0,0.0,b-285-11.jpg
1.0,0.0,b-286-19.jpg
1.0,0.0,b-286.jpg
1.0,0.0,b-287-16.jpg
1.0,0.0,b-287.jpg
1.0,0.0,b-288.jpg
1.0,0.0,b-289-09.jpg
0.0,1.0,b-289.jpg
0.0,1.0,b-290-10.jpg
0.0,1.0,b-290.jpg
1.0,4.3162836e-30,b-291.jpg
1.0,0.0,b-292.jpg
1.0,0.0,b-293.jpg
0.0,1.0,b-294.jpg
1.0,0.0,b-295.jpg
1.0,0.0,b-296.jpg
1.0,0.0,b-297-12.jpg
1.0,0.0,b-297.jpg
1.0,1.8676102e-24,b-298.jpg
1.0,1.8676102e-24,b-299-07.jpg
1.0,0.0,b-299.jpg
1.0,0.0,b-300-08.jpg
0.0,1.0,b-300.jpg
0.0,1.0,b-301-06.jpg
1.0,0.0,b-301.jpg
1.0,0.0,b-302-05.jpg
1.0,0.0,b-302.jpg
1.0,0.0,b-303-09.jpg
1.0,0.0,b-303.jpg
1.0,0.0,b-304-13.jpg
1.0,9.1451997e-17,b-304.jpg
1.0,0.0,b-305.jpg
1.0,0.0,b-306-09.jpg
1.0,3.2777216e-16,b-307-10.jpg
1.0,0.0,b-307.jpg
1.0,0.0,b-308-10.jpg
1.0,0.0,b-308.jpg
1.0,0.0,b-309-10.jpg
1.0,4.69335e-22,b-309.jpg
1.0,4.69335e-22,b-310-13.jpg
0.0,1.0,b-310.jpg
0.0,1.0,b-311-10.jpg
3.7092027e-24,1.0,b-311.jpg
3.7092027e-24,1.0,b-312-09.jpg
0.0,1.0,b-313-06.jpg
0.0,1.0,b-314-06.jpg
0.0,1.0,b-315-06.jpg
0.0,1.0,b-316-09.jpg
0.0,1.0,b-317-08.jpg
0.0,1.0,b-324-04.jpg
5.8422154e-15,1.0,b-325-03.jpg
